French,English
chat,cat
chien,dog
maison,house
voiture,car
ordinateur,computer
fleur,flower
livre,book
table,table
fenêtre,window
porte,door
stylo,pen
papier,paper
crayon,pencil
école,school
professeur,teacher
étudiant,student
jardin,garden
arbre,tree
plante,plant
montagne,mountain
mer,sea
ciel,sky
nuage,cloud
soleil,sun
lune,moon
étoile,star
avion,airplane
train,train
bateau,boat
vélo,bike
football,soccer
basketball,basketball
tennis,tennis
golf,golf
musique,music
film,movie
théâtre,theater
peinture,painting
sculpture,sculpture
danse,dance
chanson,song
poème,poem
roman,novel
journal,newspaper
magazine,magazine
télévision,television
radio,radio
internet,internet
téléphone,telephone
photographie,photography
art,art
science,science
mathématiques,mathematics
physique,physics
chimie,chemistry
biologie,biology
histoire,history
géographie,geography
français,French
anglais,English
espagnol,Spanish
allemand,German
italien,Italian
chinois,Chinese
japonais,Japanese
russe,Russian
portugais,Portuguese
arabe,Arabic
hindou,Hindi
bengali,Bengali
punjabi,Punjabi
ourdou,Urdu
turc,Turkish
néerlandais,Dutch
suédois,Swedish
norvégien,Norwegian
danois,Danish
finnois,Finnish
polonais,Polish
hongrois,Hungarian
tchèque,Czech
grec,Greek
latin,Latin
sanskrit,Sanskrit
loup,wolf
éléphant,elephant
tigre,tiger
lion,lion
ours,bear
girafe,giraffe
singe,monkey
panda,panda
rhinocéros,rhinoceros
hippopotame,hippopotamus
crocodile,crocodile
serpent,snake
tortue,turtle
grenouille,frog
crapaud,toad
lézard,lizard
coccinelle,ladybug
abeille,bee
papillon,butterfly
moustique,mosquito
fourmi,ant
araignée,spider
scorpion,scorpion
oiseau,bird
poulet,chicken
canard,duck
oie,goose
cygne,swan
hibou,owl
aigle,eagle
faucon,falcon
perroquet,parrot
corbeau,raven
moineau,sparrow
hirondelle,swallow
pigeon,pigeon
vautour,vulture
serpent,serpent
léopard,leopard
guépard,cheetah
panthère,panther
lynx,lynx
chat sauvage,wildcat
chien de prairie,prairie dog
rat, rat
souris, mouse
écureuil, squirrel
castor, beaver
cochon d'Inde, guinea pig
lapin, rabbit
cheval, horse
âne, donkey
zèbre, zebra
antilope, antelope
cerf, deer
biche, doe
chevreuil, roe deer
sanglier, wild boar
buffle, buffalo
bison, bison
taureau, bull
vache, cow
veau, calf
agneau, lamb
mouton, sheep
chèvre, goat
porc, pig
cochon, pig
cochon d'Inde, guinea pig
écureuil, squirrel
castor, beaver
lapin, rabbit
cheval, horse
âne, donkey
zèbre, zebra
antilope, antelope
cerf, deer
biche, doe
chevreuil, roe deer
sanglier, wild boar
buffle, buffalo
bison, bison
taureau, bull
vache, cow
veau, calf
agneau, lamb
mouton, sheep
chèvre, goat
porc, pig
cochon, pig
